id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_usaha,jumlah_usaha,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,BPW,45,UNIT,2014
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,CBPW,0,UNIT,2014
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,APW,1,UNIT,2014
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BPW,0,UNIT,2014
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CBPW,0,UNIT,2014
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,APW,0,UNIT,2014
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BPW,10,UNIT,2014
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CBPW,0,UNIT,2014
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,APW,1,UNIT,2014
10,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BPW,0,UNIT,2014
11,32,JAWA BARAT,3204,KABUPATEN BANDUNG,CBPW,4,UNIT,2014
12,32,JAWA BARAT,3204,KABUPATEN BANDUNG,APW,0,UNIT,2014
13,32,JAWA BARAT,3205,KABUPATEN GARUT,BPW,2,UNIT,2014
14,32,JAWA BARAT,3205,KABUPATEN GARUT,CBPW,0,UNIT,2014
15,32,JAWA BARAT,3205,KABUPATEN GARUT,APW,0,UNIT,2014
16,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BPW,3,UNIT,2014
17,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CBPW,0,UNIT,2014
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,APW,0,UNIT,2014
19,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BPW,0,UNIT,2014
20,32,JAWA BARAT,3207,KABUPATEN CIAMIS,CBPW,2,UNIT,2014
21,32,JAWA BARAT,3207,KABUPATEN CIAMIS,APW,1,UNIT,2014
22,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BPW,0,UNIT,2014
23,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,CBPW,0,UNIT,2014
24,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,APW,0,UNIT,2014
25,32,JAWA BARAT,3209,KABUPATEN CIREBON,BPW,8,UNIT,2014
26,32,JAWA BARAT,3209,KABUPATEN CIREBON,CBPW,0,UNIT,2014
27,32,JAWA BARAT,3209,KABUPATEN CIREBON,APW,2,UNIT,2014
28,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BPW,0,UNIT,2014
29,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,CBPW,0,UNIT,2014
30,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,APW,0,UNIT,2014
31,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BPW,14,UNIT,2014
